date,volume,area,solar_exposure,rainfall,max_temperature,min_temperature,humidity,wind_speed
199001,1.91934E+11,142230208.3,22.1,22.8,23.81,9.7,37,1.64
199002,1.86338E+11,141764479.2,19.4,83.3,23.82,9.71,40,1.26
199003,1.80741E+11,141298750,16.3,17.6,23.84,9.71,42,1.39
199004,1.81469E+11,141408875,10.2,159.2,23.85,9.72,46,1.39
199005,1.82196E+11,141519000,9.1,69.6,23.86,9.72,54,0.94
199006,1.82924E+11,141629125,7.6,19.6,23.88,9.72,60,1.2
199007,1.83651E+11,141739250,7.9,61.7,23.89,9.73,58,1.45
199008,1.84379E+11,141849375,10,82.6,23.9,9.73,52,1.7
199009,2.11145E+11,143894375,15.6,23.6,23.91,9.74,49,1.32
199010,2.10875E+11,143877500,20.9,62.4,23.93,9.74,47,1.45
199011,2.01555E+11,143300937.5,28.1,17.6,23.94,9.75,41,1.45
199012,1.92235E+11,142724375,27.8,30.8,23.95,9.75,37,1.64
199101,2.0141E+11,143291875,25.5,64.3,23.96,9.75,37,1.57
199102,2.10586E+11,143859375,23.4,26.4,23.98,9.76,40,1.39
199103,1.86808E+11,142159375,21.6,27.2,23.99,9.76,42,1.32
199104,1.68528E+11,139055625,15,28,24,9.77,46,1.07
199105,1.80458E+11,140345156.3,10.8,29.9,24.01,9.77,54,0.82
199106,1.92389E+11,141634687.5,6.3,121.8,24.03,9.78,60,1.26
199107,2.04319E+11,142924218.8,8.8,128.4,24.04,9.78,58,1.2
199108,2.16249E+11,144213750,11.4,104.3,24.05,9.78,52,1.89
199109,2.16449E+11,144226250,15.5,67.4,24.06,9.79,49,1.7
199110,2.08488E+11,143728125,22.9,18,24.08,9.79,47,1.32
199111,2.00528E+11,143230000,25.9,35.6,24.09,9.8,41,1.51
199112,2.17138E+11,144269375,23,46.5,24.1,9.8,37,1.7
199201,2.10256E+11,143838750,26.1,150,26.9,15.8,37,1.39
199202,2.10076E+11,143827500,18.8,58.3,24.6,15.4,40,1.39
199203,2.09896E+11,143816250,17.8,38,22.7,10.5,42,1.01
199204,2.08268E+11,143714375,12.9,32.7,19.5,7,46,1.07
199205,1.94017E+11,142831875,10,30.4,17,3.7,54,0.82
199206,1.21371E+11,129574375,7.9,39.9,14,0.7,60,0.94
199207,1.81342E+11,141407500,9.1,14.2,13.8,1.4,58,1.13
199208,1.79191E+11,141015937.5,11.6,87,13.9,1,52,1.45
199209,1.77039E+11,140624375,14.4,86.5,15.6,3.6,49,1.39
199210,1.74888E+11,140232812.5,17.4,74.4,18.9,8.3,47,1.45
199211,1.72736E+11,139841250,21.3,91.4,19.9,9.4,41,1.32
199212,1.71868E+11,139471145.8,23.1,76.8,22.7,12.3,37,1.32
199301,1.71E+11,139101041.7,23.7,105.8,26.7,13.8,37,1.26
199302,1.70132E+11,138730937.5,20.8,30,24.5,12.3,40,1.45
199303,1.73482E+11,139553125,16.1,109,20.5,9.9,42,1.26
199304,1.76832E+11,140375312.5,14.1,12.2,20.4,4.7,46,1.01
199305,1.80181E+11,141197500,10.5,19.8,16.6,0.8,54,0.82
199306,1.70479E+11,139310833.3,8.5,21.2,12,-1.1,60,1.07
199307,1.60776E+11,137424166.7,8,130,13,1,58,0.88
199308,1.51073E+11,135537500,10.4,19.6,14,0,52,1.2
199309,1.36741E+11,132614375,14.3,91.6,15.7,3.2,49,1.39
199310,2.10301E+11,143841562.5,20,64.6,17.5,5.5,47,1.39
199311,1.66092E+11,136719062.5,23.9,96.6,21.1,6.3,41,1.32
199312,1.76124E+11,139397656.3,22.4,21,24.1,10.7,37,1.64
199401,1.86157E+11,142076250,28.1,34.9,28,9.8,37,1.64
199402,1.80755E+11,141301250,20,84.8,27.1,12.4,40,1.39
199403,1.80119E+11,141186250,17,26.8,19.9,7.4,42,1.13
199404,1.79483E+11,141071250,12.3,95.6,19.4,5.3,46,1.13
199405,1.77182E+11,140655000,9.7,5.2,14.1,2.7,54,1.2
199406,1.76245E+11,140485625,7.2,38.4,11.1,0.1,60,1.01
199407,1.75309E+11,140316250,10.1,0,12.4,-3.2,58,1.01
199408,1.56282E+11,136528750,14.7,16.8,13.1,-2.5,52,1.13
199409,1.7051E+11,139425625,17.6,3.6,16.5,-0.7,49,1.64
199410,1.67093E+11,138772812.5,20.1,51.3,19,3.7,47,1.57
199411,1.63677E+11,138120000,21.9,65.4,22.4,8.4,41,2.02
199412,1.60941E+11,137581875,27.6,57.2,26.5,11.1,37,1.64
199501,1.48767E+11,135105625,21.2,220.8,26.7,13.3,37,1.64
199502,1.44091E+11,134158125,23.8,12.9,25.5,10.8,40,1.39
199503,1.39414E+11,133210625,18.2,54.07,21.4,8.9,42,1.51
199504,1.34737E+11,132263125,15,95.23,18.1,3.7,46,1.32
199505,1.30061E+11,131315625,7.6,136.4,15.4,7.5,54,1.13
199506,1.25384E+11,130368125,6.4,6.5,11.7,2.9,60,1.39
199507,1.22967E+11,129890000,8.4,9.85,10.3,-0.2,58,1.39
199508,1.20549E+11,129411875,14,13.2,15.9,0.8,52,1.2
199509,1.18132E+11,128933750,14.4,34.9,15,3.6,49,1.26
199510,1.19032E+11,129111875,19.2,94.7,17.8,7,47,1.39
199511,1.18876E+11,129081041.7,19.9,81,20.7,9.4,41,1.64
199512,1.18721E+11,129050208.3,27.6,75.8,21.8,9.4,37,1.51
199601,1.18565E+11,129019375,22.8,85.8,23.2,12.5,37,1.45
199602,1.2202E+11,129705267.9,22.2,22.4,21.9,8.7,40,1.57
199603,1.25475E+11,130391160.7,19.1,19.6,22.8,8.9,42,1.26
199604,1.2893E+11,131077053.6,13.3,0,17.9,4.6,46,1.07
199605,1.32385E+11,131762946.4,9.8,56.6,16,4.3,54,1.01
199606,1.3584E+11,132448839.3,8,30.2,12.9,1.6,60,1.07
199607,1.39295E+11,133134732.1,7.8,89.5,10.8,0.1,58,1.13
199608,1.4275E+11,133820625,11.7,33.1,12.4,1.9,52,1.39
199609,1.11092E+11,126485625,17.7,112,15.3,3.8,49,1.83
199610,1.58782E+11,137157187.5,21,52.6,18.2,6.8,47,1.32
199611,1.41869E+11,133641250,24.2,80,19.2,6.4,41,1.64
199612,1.38574E+11,132976875,25.3,74.9,23.2,9,37,1.51
199701,1.23286E+11,129792187.5,24.7,51.9,23.8,9,37,1.51
199702,1.07998E+11,126607500,23.7,23.3,26.8,13.2,40,1.32
199703,96888373531,121209062.5,18.7,32.2,22.6,9.8,42,1.32
199704,85779221607,115810625,16,0,21.8,4.6,46,1.13
199705,73493457338,109368125,9.7,40,15.9,4,54,1.01
199706,86031569289,114532187.5,8.5,133.1,12.9,-1.5,60,0.94
199707,98569681240,119696250,10.2,0,11.6,-0.6,58,0.94
199708,1.11108E+11,124860312.5,14.1,36.8,13.3,-0.6,52,1.26
199709,1.23646E+11,130024375,13.8,89.5,14.8,4,49,1.2
199710,99624912667,120299062.5,23.6,32.3,19.6,5,47,1.45
199711,75603920192,110573750,24.6,9.3,25,8.8,41,1.51
199712,65853162962,104764687.5,28.2,16.9,27.9,11.6,37,1.7
199801,53618149370,95977812.5,22.3,41.2,26.7,13,37,1.57
199802,41383135779,87190937.5,25.1,21.8,28.2,12,40,1.51
199803,29827192996,76695000,20.4,2.8,27.1,10.3,42,1.39
199804,29797911387,76662343.75,13.4,58.8,20.1,7.6,46,1.13
199805,29768629778,76629687.5,9.1,36.9,15,5.4,54,1.07
199806,29739348170,76597031.25,7.6,93,12,2.4,60,1.2
199807,29710066561,76564375,8.4,78.8,11,0.2,58,1.2
199808,55157904500,94856562.5,10.3,118.5,12.3,3.7,52,1.13
199809,80605742439,113148750,16.1,90.15,16.4,5.7,49,1.32
199810,77626041946,111615625,20.4,61.8,17.6,5.1,47,1.39
199811,78407712255,112017812.5,22.7,92.7,18.7,7.4,41,1.32
199812,79189382563,112420000,27.6,16,24.9,11,37,1.39
